,characterID,combatShipsLost,exploShipsLost,miningShipsLost,otherShipsLost,secStatus,shipsDestroyed,soloRatio
77,90041993.0,70.0,1.0,0.0,1.0,4.4238886357484,1539.0,3.0
78,90041998.0,28.0,0.0,0.0,0.0,3.9562359799766,28.0,5.0
79,90042585.0,120.0,4.0,0.0,0.0,2.2701313105352,1802.0,1.0
80,90043792.0,27.0,0.0,3.0,1.0,4.583375247294,44.0,4.0
81,90043887.0,9.0,0.0,0.0,0.0,5.0000726766368,29.0,7.0
82,90044577.0,88.0,13.0,5.0,0.0,5.002992815307,93.0,5.0
83,90045135.0,142.0,6.0,0.0,9.0,4.8976307475502,3373.0,0.0
84,90045240.0,139.0,5.0,1.0,4.0,3.7031238029803,1566.0,2.0
85,90046258.0,13.0,0.0,0.0,0.0,1.3026881399252,4.0,5.0
86,90047468.0,8.0,4.0,11.0,4.0,5.0006231089024,11.0,9.0
87,90047488.0,126.0,2.0,4.0,0.0,5.0061011028737,690.0,4.0
88,90048060.0,19.0,3.0,0.0,3.0,5.0038149437836,80.0,6.0
89,90048784.0,80.0,1.0,5.0,6.0,3.5347156146594,0.0,5.0
90,90049974.0,57.0,0.0,1.0,0.0,-0.14082737579523,506.0,7.0
91,90050335.0,47.0,1.0,3.0,9.0,4.8783073016594,425.0,0.0
92,90053100.0,333.0,1.0,9.0,59.0,5.0050664607734,1910.0,21.0
93,90053921.0,3.0,2.0,0.0,0.0,5.003433078304,4.0,25.0
94,90054957.0,840.0,10.0,0.0,1.0,-5.88281009039,4443.0,9.0
95,90055643.0,11.0,9.0,0.0,0.0,3.8792043276908,2.0,100.0
96,90055860.0,99.0,0.0,0.0,0.0,2.51977218116,731.0,6.0
97,90055987.0,5.0,1.0,5.0,0.0,3.7894657671388,1.0,100.0
98,90056432.0,55.0,1.0,3.0,4.0,3.9817283445205,237.0,5.0
99,90056523.0,143.0,0.0,0.0,7.0,5.0076961782168,2938.0,1.0
100,90059059.0,62.0,1.0,2.0,0.0,5.0105837453249,349.0,1.0
101,90059118.0,16.0,0.0,0.0,0.0,-1.9365050497607,0.0,18.0
102,90059631.0,79.0,6.0,0.0,0.0,0.37069136224763,0.0,21.0
103,90060223.0,42.0,3.0,1.0,0.0,5.0003788216126,0.0,0.0
104,90060833.0,0.0,2.0,1.0,0.0,0.025343675112815,0.0,5.0
105,90061424.0,473.0,0.0,2.0,4.0,5.0054311661488,0.0,9.0
106,90064386.0,296.0,1.0,0.0,3.0,-1.8149204135948,0.0,26.0
107,90064465.0,22.0,0.0,0.0,0.0,0.00035,0.0,15.0
108,90064627.0,25.0,0.0,0.0,0.0,5.0013024357036,0.0,0.0
109,90064803.0,79.0,0.0,0.0,0.0,4.3923585241723,0.0,0.0
110,90065405.0,256.0,4.0,0.0,9.0,5.001110543368,0.0,3.0
111,90065536.0,18.0,0.0,0.0,9.0,4.0774136911269,0.0,0.0
112,90067079.0,59.0,3.0,1.0,4.0,-2.036142261575,0.0,5.0
113,90067218.0,14.0,1.0,2.0,0.0,2.9281352720283,0.0,21.0
114,90067541.0,9.0,0.0,1.0,1.0,5.0057323444267,0.0,8.0
115,90067808.0,38.0,7.0,1.0,0.0,2.3550554676828,0.0,56.0
116,90067849.0,22.0,0.0,0.0,0.0,0.25347655352016,0.0,3.0
117,90067923.0,75.0,1.0,3.0,21.0,5.0044525687846,0.0,0.0
118,90068146.0,11.0,0.0,1.0,0.0,5.0005208670611,0.0,5.0
119,90068753.0,85.0,6.0,0.0,2.0,1.702381892186,0.0,3.0
120,90069533.0,249.0,2.0,3.0,16.0,3.1850300389491,0.0,0.0
121,90070556.0,149.0,2.0,3.0,0.0,5.0034040686835,0.0,4.0
122,90070691.0,6.0,0.0,0.0,0.0,1.5868674288577,0.0,100.0
123,90071019.0,117.0,4.0,5.0,4.0,-1.5947828053335,0.0,15.0
124,90071666.0,17.0,0.0,0.0,0.0,-0.46649357636975,0.0,38.0
125,90073092.0,142.0,2.0,0.0,0.0,2.3484161977942,0.0,12.0
126,90073383.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0
127,90073477.0,16.0,0.0,5.0,0.0,5.0062550142558,0.0,9.0
128,90074492.0,26.0,2.0,2.0,0.0,2.9617322743438,0.0,0.0
129,90074699.0,98.0,5.0,7.0,2.0,5.0055463273805,0.0,8.0
130,90075282.0,37.0,3.0,9.0,2.0,5.0038429549098,0.0,0.0
131,90076427.0,76.0,1.0,5.0,4.0,5.0034660573524,0.0,9.0
132,90076517.0,23.0,0.0,0.0,3.0,3.8257708999936,0.0,2.0
133,90076794.0,588.0,9.0,8.0,10.0,5.0028743478369,0.0,4.0
134,90077194.0,587.0,5.0,1.0,4.0,5.0007072520872,0.0,4.0
